Time,Inj Gas Meter Volume Instantaneous,Inj Gas Meter Volume Setpoint,Inj Gas Valve Percent Open
10/31/2024 12:00:00 am,559.0225499999999,543.0,44.65046
10/31/2024 12:14:00 am,549.6309,,44.68318
10/31/2024 12:30:00 am,586.3567499999999,,44.58979
10/31/2024 12:46:00 am,573.30135,,44.62712
10/31/2024 1:00:00 am,564.6483000000001,543.0,44.64499
10/31/2024 1:14:00 am,559.5771,,44.65577
10/31/2024 1:28:00 am,594.0436500000001,,44.5543
10/31/2024 1:44:00 am,579.2346,,44.60474
10/31/2024 2:00:00 am,575.6688,543.0,44.612
10/31/2024 2:14:00 am,569.6556,,44.63334
10/31/2024 2:30:00 am,556.50495,,44.65831
10/31/2024 2:46:00 am,582.01815,,44.58346
10/31/2024 3:00:00 am,583.23225,543.0,44.59333
10/31/2024 3:16:00 am,557.40765,,44.62994
10/31/2024 3:28:00 am,559.6974,,44.65321
10/31/2024 3:44:00 am,561.0645,,44.64957
10/31/2024 4:00:00 am,574.6855499999999,543.0,44.61326
10/31/2024 4:14:00 am,577.60605,,44.63443
10/31/2024 4:30:00 am,571.9866000000001,,44.61763
10/31/2024 4:46:00 am,566.8248,,44.64836
10/31/2024 4:58:00 am,576.3850500000001,543.0,44.33146
10/31/2024 5:14:00 am,574.7841,,44.34416
10/31/2024 5:30:00 am,561.53055,,44.39851
10/31/2024 5:44:00 am,546.55815,,44.41094
10/31/2024 6:00:00 am,558.4390500000001,543.0,44.38026
10/31/2024 6:14:00 am,572.1432,,44.3538
10/31/2024 6:30:00 am,567.6579,,44.36668
10/31/2024 6:46:00 am,556.07025,,44.39721
10/31/2024 6:58:00 am,546.97725,543.0,44.41696
10/31/2024 7:14:00 am,571.2198,,44.3497
10/31/2024 7:30:00 am,565.43385,,44.3615
10/31/2024 7:44:00 am,562.36515,,44.37756
10/31/2024 8:00:00 am,549.08595,543.0,44.41018
10/31/2024 8:16:00 am,546.15675,,44.419
10/31/2024 8:30:00 am,584.6124,,44.31561
10/31/2024 8:44:00 am,573.8061,,44.35046
10/31/2024 8:58:00 am,560.93895,543.0,44.38796
10/31/2024 9:14:00 am,554.2827,,44.40012
10/31/2024 9:30:00 am,545.76135,,44.41581
10/31/2024 9:44:00 am,577.70445,,44.3311
10/31/2024 10:00:00 am,565.99395,543.0,44.3562
10/31/2024 10:16:00 am,555.49005,,44.39793
10/31/2024 10:28:00 am,544.86165,,44.41911
10/31/2024 10:44:00 am,573.1845,,44.3461
10/31/2024 10:58:00 am,565.70355,543.0,44.36767
10/31/2024 11:14:00 am,539.49735,,44.3986
10/31/2024 11:30:00 am,547.63275,,44.42148
10/31/2024 11:44:00 am,537.68835,,44.44006
10/31/2024 12:00:00 pm,565.84485,543.0,44.40781
10/31/2024 12:16:00 pm,551.3133,,44.40445
10/31/2024 12:28:00 pm,537.8523,,44.47496
10/31/2024 12:44:00 pm,536.6283000000001,,44.45201
10/31/2024 1:00:00 pm,535.6395,543.0,44.44459
10/31/2024 1:14:00 pm,556.9569,,44.38197
10/31/2024 1:30:00 pm,551.90055,,44.39755
10/31/2024 1:44:00 pm,541.99125,,44.4304
10/31/2024 2:00:00 pm,530.3100000000001,543.0,44.45881
10/31/2024 2:14:00 pm,555.0696,,44.39986
10/31/2024 2:28:00 pm,552.97965,,44.39899
10/31/2024 2:44:00 pm,542.7615000000001,,44.42754
10/31/2024 3:00:00 pm,531.168,543.0,44.46262
10/31/2024 3:14:00 pm,526.2186,,44.47208
10/31/2024 3:30:00 pm,559.43805,,44.38593
10/31/2024 3:46:00 pm,544.93035,,44.40762
10/31/2024 4:00:00 pm,539.9238,543.0,44.43489
10/31/2024 4:14:00 pm,532.458,,44.45175
